ID,Age_group,ave_adj pumps,ave_RT_all_pumps,percentage_exploded_balloons,total_win_balloons,MI_Decision,MI_Reward,MI_Risk,Age_Continuous
16-08-26.1CBD,C,4.6,0.262119816,0.336734694,65,2.65E-01,4.25E-01,5.13E-01,11.45753425
16-08-26.2CBD,C,3.630252101,0.146024742,0.143884892,119,8.57E-02,4.86E-01,5.44E-01,11.75890411
16-08-26.3CBD,C,3.638095238,0.143731405,0.227941176,105,1.95E-01,4.31E-01,5.73E-01,11.03835616
16-08-26.4CBD,C,3.037735849,0.286594828,0.094017094,106,8.12E-02,3.86E-01,5.20E-01,10.41643836
16-08-27.1CBD,C,2.110169492,0.331316794,0.048387097,118,2.64E-01,3.86E-01,4.66E-01,8.523287671
16-08-27.2CBD,C,4.820512821,0.490777439,0.411764706,39,1.82E-01,2.12E-01,3.20E-01,10.1890411
16-08-27.3CBD,C,3.301587302,0.578489362,0.108108108,63,2.19E-01,2.07E-01,1.63E-01,8.315068493
16-08-29.1CBD,C,4.065934066,0.307781638,0.107843137,91,3.08E-01,2.49E-01,3.45E-01,7.235616438
16-08-30.1CBD,C,4.742857143,0.150273381,0.426229508,70,1.87E-01,7.24E-03,6.84E-02,8.534246575
16-08-30.2CBD,C,4.445783133,0.209415418,0.284482759,83,3.58E-01,1.94E-01,1.91E-01,8.547945205
16-08-30.3CBD,C,1.452173913,0.41063587,0.048780488,115,3.64E-01,1.84E-02,3.11E-01,8.449315068
16-08-30.5CBD,C,2.160493827,0.576558376,0.077777778,81,3.39E-01,2.47E-01,9.90E-02,8.268493151
16-09-03.2CBD,C,4.181818182,0.261948113,0.425742574,55,1.92E-01,1.12E-01,2.87E-01,8.290410959
16-09-03.3CBD,C,3.168674699,0.463154676,0.087912088,83,3.68E-02,1.16E-01,1.88E-01,8.77260274
16-09-03.5CBD,C,3.647619048,0.187006772,0.192307692,105,2.18E-01,4.76E-01,6.19E-01,10.49863014
16-09-04.2CBD,C,4.415384615,0.352853186,0.214285714,65,1.24E-01,1.66E-01,2.11E-01,8.249315068
16-09-04.3CBD,C,3.412280702,0.144686825,0.173913043,114,3.96E-01,3.95E-01,5.25E-01,11.46575342
16-09-11.1CBD,C,2.11627907,0.666042553,0.044444444,86,3.84E-01,3.91E-01,3.44E-01,8.134246575
16-09-11.2CBD,C,1.168316832,0.510293706,0.00862069,101,4.14E-01,1.68E-01,4.23E-02,7.942465753
16-09-11.3CBD,C,2.710144928,0.575972727,0.120481928,69,3.36E-02,-5.87E-02,6.88E-02,7.104109589
16-09-17.2CBD,C,5.208955224,0.148664286,0.417391304,67,2.91E-01,1.63E-01,2.57E-01,10.27123288
16-09-24.1CBD,C,2.85046729,0.287651026,0.107438017,107,8.42E-02,3.72E-01,2.54E-01,9.761643836
16-09-24.2CBD,C,1.913043478,0.609846995,0.020833333,92,3.76E-01,7.55E-02,2.19E-01,8.383561644
16-09-24.3CBD,C,4.75862069,1.175182796,0.302325581,29,1.31E-01,1.88E-01,2.86E-01,11.78082192
16-09-24.4CBD,C,2.084507042,0.703897297,0.060240964,71,3.35E-01,1.34E-01,3.37E-01,8.356164384
16-09-25.2CBD,C,3.086956522,0.224256545,0.072,115,3.93E-01,3.20E-01,5.15E-01,8.723287671
16-09-25.3CBD,C,2.410714286,0.316670251,0.026086957,112,2.40E-01,2.26E-01,3.59E-01,9.098630137
16-10-06.1CBD,C,4.552238806,0.252531765,0.33,67,3.32E-01,7.57E-02,2.23E-01,9.515068493
16-10-06.3CBD,C,3.775,0.140883858,0.379844961,80,1.65E-01,1.54E-01,1.91E-01,9.082191781
16-10-07.1CBD,C,2.943925234,0.283802985,0.060869565,107,1.75E-01,1.27E-01,4.61E-01,9.175342466
16-10-07.2CBD,C,3.5,0.392924012,0.166666667,80,2.00E-01,1.72E-01,2.14E-01,8.734246575
16-10-07.3CBD,C,4.203883495,0.157884086,0.188976378,103,3.07E-01,3.37E-01,4.80E-01,9.073972603
16-10-07.4CBD,C,4.326530612,0.148982792,0.228346457,98,1.60E-01,5.07E-01,6.04E-01,11.59178082
16-10-15.1CBD,C,2.34375,0.694891304,0.063291139,64,3.17E-01,1.63E-01,3.67E-01,7.216438356
16-10-16.1CBD,C,3.462365591,0.234512315,0.182608696,93,7.01E-02,8.86E-02,2.10E-01,7.84109589
16-10-16.2CBD,C,3.774193548,0.167917548,0.267716535,93,1.65E-01,4.87E-02,6.69E-02,7.945205479
16-10-16.3CBD,C,2.288659794,0.4139125,0.075471698,97,2.44E-01,8.54E-02,3.97E-01,8.430136986
16-10-22.2CBD,C,4.2,0.301678378,0.184782609,70,1.54E-01,8.26E-02,3.40E-01,7.523287671
16-10-22.3CBD,C,2.813186813,0.488672932,0.06122449,91,1.73E-01,2.73E-01,4.19E-01,8.504109589
16-11-12.1CBDHC,C,2.593023256,0.530938017,0.085106383,86,3.30E-01,3.55E-01,3.09E-01,9.84109589
16-11-13.1CBD,C,2.12962963,0.394561475,0.034482759,108,2.11E-01,1.74E-01,2.29E-01,7.704109589
16-11-13.2CBD,C,4.225352113,0.26758,0.303921569,71,1.77E-01,6.82E-02,1.59E-01,9.068493151
16-11-13.2CBDHC,C,3.432692308,0.258506494,0.111111111,104,5.09E-02,1.74E-01,1.28E-01,9.424657534
16-11-13.3CBD,C,3.72,0.333479769,0.226804124,75,1.22E-01,8.51E-02,1.81E-01,12.44657534
16-11-19.1CBD,C,3.638554217,0.373775811,0.126315789,83,1.80E-01,1.82E-01,3.80E-01,8.460273973
16-11-19.1CBDHC,C,1.82962963,0.301816406,0.049295775,135,7.31E-02,1.67E-01,1.33E-01,10.57534247
16-11-19.2CBD,C,6.105263158,0.368805897,0.506493506,38,3.32E-01,2.64E-01,3.86E-01,11.25753425
16-11-19.2CBDHC,C,4.102272727,0.225873051,0.260504202,88,4.31E-01,4.73E-01,6.19E-01,10.94520548
16-11-19.3CBD,C,1.162962963,0.5003625,0.02173913,135,3.73E-01,3.82E-01,4.35E-01,8.432876712
16-11-20.1CBD,C,2.97826087,0.317226115,0.146788991,92,1.33E-01,2.73E-01,4.64E-01,8.016438356
16-11-20.2CBDHC,C,3.336842105,0.245621212,0.208333333,95,2.05E-01,4.81E-02,2.14E-01,10.86027397
16-11-26.1CBDHC,C,5.523809524,0.230026694,0.357142857,63,1.56E-01,3.18E-01,5.22E-01,11.45753425
16-11-26.2CBD,C,3.546875,0.51442803,0.126582278,64,1.47E-01,-5.04E-02,-4.24E-02,8.964383562
16-11-26.2CBDHC,C,4.362831858,0.107229277,0.18115942,113,1.10E-01,1.83E-01,3.74E-01,11.59452055
16-11-27.1CBD,C,4.032258065,0.267262136,0.138888889,93,1.70E-01,2.19E-01,3.47E-01,10.78082192
16-11-27.2CBD,C,4.630136986,0.158599624,0.391666667,73,1.68E-01,2.77E-01,3.67E-01,10.37260274
16-12-04.2CBD,C,4.214285714,0.38023125,0.280487805,56,5.96E-02,7.83E-02,1.93E-01,9.328767123
16-12-04.2CBDHC,C,4.151162791,0.197649682,0.289256198,86,5.49E-01,2.79E-01,4.87E-01,10.36164384
16-12-04.3CBD,C,5.016949153,0.286434004,0.387755102,59,1.85E-01,3.95E-01,3.77E-01,8.498630137
16-12-10.1CBDHC,C,3.080808081,0.241945596,0.161016949,99,2.42E-01,4.88E-01,4.45E-01,10.41643836
16-12-10.2CBDHC,C,5.163934426,0.230669474,0.398058252,61,1.41E-01,2.48E-01,2.63E-01,9.619178082
16-12-11.3CBD,C,3.625,0.485634812,0.172413793,72,8.61E-02,1.95E-01,3.04E-01,7.865753425
16-12-11.4CBD,C,4.523809524,0.437914956,0.168831169,63,2.09E-01,3.84E-01,5.53E-01,8.509589041
16-12-22.1CBD,C,3.348484848,0.477272727,0.218390805,66,-4.60E-02,-6.14E-02,2.56E-01,8.791780822
16-12-22.2CBD,C,3.277777778,0.327335347,0.104761905,90,1.66E-01,1.56E-01,3.20E-01,9.057534247
16-12-22.3CBD,C,4,0.283677749,0.217821782,79,2.94E-01,1.69E-01,2.98E-01,8.019178082
16-12-24.1CBDHC,C,3.5,0.302824176,0.219047619,82,2.67E-01,1.88E-01,3.28E-01,10.4109589
16-12-24.2CBD,C,1.739495798,0.437004717,0.016393443,119,2.98E-01,1.13E-01,2.90E-01,7.465753425
16-12-24.2CBDHC,C,3.344262295,0.182426304,0.102941176,122,1.41E-01,2.92E-01,3.70E-01,10.95342466
16-12-24.3CBD,C,3.716216216,0.301008108,0.24,74,2.13E-01,8.89E-02,2.60E-01,9.936986301
16-12-24.3CBDHC,C,2.54954955,0.295628205,0.082644628,111,1.34E-01,-4.25E-02,6.47E-02,10.82465753
16-12-24.4CBD,C,3.305084746,0.543586614,0.227848101,59,2.70E-01,3.17E-01,4.08E-01,7.950684932
16-12-25.1CBD,C,4.157142857,0.394936599,0.222222222,70,2.94E-01,3.53E-01,3.78E-01,11.16712329
16-12-25.2CBD,C,3,0.289128049,0.118181818,95,2.31E-01,-6.52E-02,2.43E-01,7.926027397
16-12-25.2CBDHC,C,2.91954023,0.325674051,0.171428571,87,3.18E-01,3.03E-01,3.00E-01,10.99726027
16-12-25.3CBD,C,4.666666667,0.351874667,0.285714286,60,2.02E-01,1.51E-01,1.76E-01,10.36164384
16-12-25.4CBD,C,1.918918919,0.692816568,0.071428571,74,5.36E-02,4.50E-02,-2.81E-02,7.383561644
16-12-26.1CBD,C,2.135416667,0.547981651,0.048543689,96,1.90E-01,2.53E-01,1.59E-01,7.353424658
16-12-27.1CBD,C,2.215189873,0.575075758,0.022988506,79,2.52E-01,1.09E-01,1.58E-01,8.219178082
16-12-27.2CBD,C,3.180851064,0.273295082,0.168141593,94,3.17E-01,2.87E-01,4.05E-01,7.547945205
16-12-27.3CBD,C,4.466666667,0.342010638,0.303370787,60,3.33E-01,2.18E-01,3.53E-01,7.942465753
16-12-29.4CBD,C,3.429906542,0.16821978,0.195488722,107,1.71E-01,2.96E-01,4.31E-01,8.495890411
17-01-12.2CBDHC,C,4.931034483,0.543909677,0.546875,29,2.42E-01,2.92E-01,3.13E-01,11.10136986
17-01-12.3CBDHC,C,2.842105263,0.432954225,0.068627451,95,2.59E-01,3.37E-01,2.28E-01,9.61369863
17-01-14.3CBDHC,C,3.755813953,0.316377892,0.188679245,86,2.21E-01,2.58E-01,3.89E-01,8.435616438
17-01-15.1CBD,C,3.941176471,0.315363881,0.213483146,68,1.70E-01,-9.13E-02,2.37E-02,8.8
17-01-15.2CBD,C,4.535211268,0.228376842,0.323809524,71,1.46E-01,5.08E-02,2.12E-01,8.64109589
17-01-15.2CBDHC,C,4.243902439,0.37889008,0.088888889,82,7.35E-02,2.47E-01,2.88E-01,9.816438356
17-01-15.3CBD,C,1.725806452,0.307039648,0.046153846,124,1.67E-01,2.52E-01,4.27E-01,11.08493151
17-01-15.3CBDHC,C,3.414414414,0.171968326,0.165413534,111,1.03E-01,3.09E-01,3.92E-01,10.3260274
17-01-16.1CBD,C,4.9,0.480118012,0.397058824,40,-1.81E-01,-1.40E-01,1.13E-01,8.517808219
17-01-16.2CBD,C,3.328947368,0.361840979,0.247524752,76,2.57E-02,1.62E-01,2.64E-01,9.008219178
17-01-16.3CBD,C,4.72,0.151968577,0.390243902,75,-6.49E-02,8.91E-02,3.88E-01,7.134246575
17-01-17.2CBD,C,5.333333333,0.600289562,0.370967742,39,1.46E-01,4.46E-01,5.54E-01,9.035616438
17-01-17.4CBD,C,4.135135135,0.247086247,0.295238095,74,6.65E-03,1.83E-01,3.53E-01,8.517808219
17-01-18.2CBDHC,C,3.151162791,0.214961165,0.268907563,86,1.70E-01,2.29E-01,2.84E-01,8.098630137
17-01-18.3CBD,C,4.269230769,0.592598566,0.242857143,52,8.69E-02,1.74E-01,3.20E-01,8.723287671
17-01-19.1CBD,C,3.851851852,0.177625532,0.136,108,1.75E-01,1.76E-01,3.64E-01,10.00821918
17-01-19.1CBDHC,C,3.727272727,0.168858672,0.153846154,110,3.52E-01,3.64E-01,5.28E-01,11.00273973
17-01-19.2CBD,C,3.584269663,0.315983146,0.12745098,89,3.81E-01,2.22E-01,3.30E-01,9.290410959
17-01-19.3CBD,C,3.611650485,0.149809725,0.231343284,103,2.55E-01,1.61E-01,3.78E-01,9.452054795
17-01-19.4CBD,C,3.223404255,0.234136364,0.123893805,94,1.35E-01,-1.93E-01,4.47E-01,9.364383562
17-01-20.3CBD,C,4.545454545,0.191122244,0.327586207,77,1.81E-01,-7.76E-02,8.28E-02,9.375342466
17-01-21.1CBDHC,C,3.930232558,0.81547032,0.266666667,43,1.45E-01,1.97E-01,2.25E-01,9.128767123
17-01-21.2CBDHC,C,2.566666667,0.270284866,0.083969466,120,7.33E-02,3.83E-01,4.62E-01,10.36164384
17-01-22.1CBDHC,C,3.107142857,0.510442029,0.055555556,84,1.44E-01,1.45E-01,2.73E-01,8.117808219
17-01-23.1CBDHC,C,2.923913043,0.392003356,0.132075472,92,3.23E-01,4.82E-01,5.94E-01,8.205479452
17-01-23.2CBDHC,C,4.084337349,0.308359801,0.194174757,83,3.76E-01,2.32E-01,3.91E-01,8.816438356
17-02-15.1CBD,C,4.594936709,0.20732996,0.288288288,79,1.38E-01,2.95E-01,5.24E-01,10.30410959
17-02-15.1CBDHC,C,4.804878049,0.553214744,0.397058824,41,3.80E-01,5.12E-01,6.31E-01,12.33424658
17-02-15.2CBD,C,2.598425197,0.218931232,0.066176471,127,1.28E-01,1.24E-01,3.36E-01,8.369863014
17-02-15.2CBDHC,C,3.134831461,0.251153061,0.232758621,89,3.27E-01,1.99E-01,2.35E-01,10.44931507
17-02-16.1CBD,C,4.396551724,0.448326409,0.275,58,3.21E-01,2.34E-01,3.43E-01,11.08493151
17-02-16.2CBD,C,2.879120879,0.377678571,0.125,91,1.96E-01,2.29E-01,2.74E-01,9.04109589
17-02-16.3CBD,C,1.888888889,0.434306604,0.044247788,108,2.38E-01,1.60E-01,3.07E-01,6.37260274
17-02-16.4CBD,C,3.342465753,0.471540146,0.105882353,73,3.72E-01,5.09E-01,5.38E-01,10.10684932
17-02-17.1CBD,C,3.037735849,0.238724324,0.131147541,106,2.82E-01,2.79E-01,4.20E-01,9.087671233
17-02-17.1CBDHC,C,2.490196078,0.355408602,0.097345133,102,2.77E-01,2.73E-01,4.22E-01,12.26027397
17-02-17.2CBD,C,3.257575758,0.594184426,0.142857143,66,6.62E-02,1.89E-01,3.26E-01,9.336986301
17-02-17.2CBDHC,C,4.38,0.280750594,0.484536082,50,1.72E-01,2.92E-01,3.63E-01,8.350684932
17-02-17.3CBD,C,4.402777778,0.41236236,0.152941176,72,5.95E-02,3.01E-03,1.14E-01,12.00821918
17-02-18.1CBD,C,4.086956522,0.485909408,0.256756757,46,3.21E-01,1.29E-01,3.15E-01,6.942465753
17-02-18.1CBDHC,C,2.752808989,0.425184397,0.12745098,89,5.38E-03,3.55E-02,-5.26E-02,9.093150685
17-02-18.3CBD,C,5.166666667,0.522115132,0.419354839,36,2.38E-01,2.70E-01,2.30E-01,8.643835616
17-02-25.1CBD,C,3.5,0.369718182,0.175257732,80,8.16E-02,1.07E-01,1.18E-01,9.42739726
17-02-25.1CBDHC,C,5.133333333,0.393298913,0.430379747,45,1.83E-01,4.14E-01,5.31E-01,9.331506849
17-02-25.2CBD,C,3.674698795,0.353847059,0.126315789,83,1.42E-01,3.16E-01,4.32E-01,8.964383562
17-02-26.1CBD,C,3.545454545,0.333656069,0.204081633,77,1.01E-01,8.90E-02,2.84E-01,8.605479452
17-02-26.3CBD,C,3.925925926,0.373878963,0.088888889,81,2.94E-01,1.75E-01,3.57E-01,10.33150685
17-02-26.4CBD,C,2.019607843,0.347521569,0.111111111,102,4.20E-01,1.28E-01,4.47E-01,7.068493151
17-03-19.1CBDHC,C,3.415254237,0.169884444,0.125925926,118,2.69E-01,3.48E-01,3.72E-01,9.076712329
17-03-25.1CBD,C,1.5,0.457369942,0.017699115,102,2.29E-01,1.24E-01,3.69E-01,9.578082192
17-03-25.1CBDHC,C,3.674157303,0.309632432,0.152380952,89,2.16E-01,1.87E-01,3.35E-01,10.40821918
17-03-25.4CBD,C,3.815789474,1.059247312,0.204081633,38,5.69E-02,2.09E-01,2.77E-01,7.268493151
17-03-26.3CBD,C,3.490740741,0.176831839,0.181818182,108,1.12E-01,2.57E-01,4.94E-01,9.473972603
17-03-26.4CBD,C,3.838235294,0.436170418,0.180722892,68,3.37E-01,2.74E-01,4.18E-01,9.460273973
17-04-03.1CBD,C,3.350877193,0.524366071,0.054794521,57,2.13E-02,5.05E-02,1.11E-01,8.208219178
17-04-03.2CBD,C,3.041666667,0.211783163,0.238095238,96,1.68E-01,3.29E-01,3.13E-01,8.616438356
17-04-03.3CBD,C,2.303921569,0.339286822,0.063063063,102,1.96E-01,2.33E-01,4.49E-01,8.95890411
17-04-04.1CBD,C,2.141304348,0.577759434,0.07,92,1.18E-01,9.06E-04,1.31E-01,7.073972603
17-04-04.2CBD,C,1.026315789,0.755915385,0.025,114,1.38E-02,-3.02E-02,3.75E-01,6.726027397
17-04-04.3CBD,C,3.226666667,0.367062092,0.21875,75,2.86E-01,2.81E-01,3.25E-01,10.05753425
17-04-04.4CBD,C,3.359550562,0.354493939,0.090909091,89,2.54E-01,3.68E-01,2.47E-01,8.419178082
17-04-08.1CBD,C,2.901639344,0.205875989,0.067669173,122,1.83E-01,1.56E-01,4.72E-01,10.95616438
17-04-08.2CBD,C,2.491071429,0.286362179,0.088709677,112,1.10E-01,2.50E-01,2.93E-01,9.830136986
17-04-08.3CBD,C,4.166666667,0.379996885,0.291139241,54,3.92E-02,2.49E-01,4.05E-01,9.421917808
17-04-08.4CBD,C,3.191666667,0.163586207,0.117647059,120,1.04E-01,2.79E-01,2.59E-01,8.15890411
17-04-09.1CBD,C,4.381818182,0.514160883,0.263157895,55,4.98E-01,1.81E-01,3.93E-01,7.619178082
17-04-09.2CBD,C,3.103092784,0.314832353,0.132743363,97,2.63E-01,4.90E-02,2.37E-01,9.690410959
17-04-09.3CBD,C,3.892857143,0.541836502,0.144927536,56,2.86E-02,1.52E-01,2.07E-01,9.690410959
17-04-16.1CBD,C,3.4375,0.414616667,0.280898876,64,2.63E-01,3.41E-01,3.58E-01,10.15616438
17-04-16.2CBD,C,4.512820513,0.475511864,0.333333333,39,1.85E-01,2.66E-01,2.76E-01,6.778082192
17-04-16.3CBD,C,2.258426966,0.340356,0.086538462,89,1.58E-01,-1.04E-01,1.49E-01,8.832876712
17-04-16.4CBD,C,4.857142857,0.29008,0.581395349,35,3.94E-01,8.13E-02,3.15E-01,8.317808219
17-04-16.5CBD,C,4.485714286,0.319641221,0.206521739,70,3.09E-01,1.04E-01,4.33E-01,10.64657534
17-04-22.1CBD,C,3.632352941,0.442107266,0.174418605,68,3.64E-01,2.15E-01,4.22E-01,9.389041096
17-04-23.1CBDHC,C,2.902912621,0.280815476,0.11965812,103,3.32E-01,2.74E-01,3.61E-01,9.112328767
17-04-23.3CBDHC,C,3.857142857,0.269260309,0.205607477,84,1.50E-01,3.33E-01,3.56E-01,8.567123288
17-04-29.1CBD,C,1.124087591,0.432197605,0.014184397,137,1.55E-01,1.03E-01,2.40E-01,6.720547945
17-04-29.2CBD,C,0.898550725,0.44697619,0.007142857,138,2.06E-01,1.51E-01,2.02E-01,7.054794521
17-04-29.4CBD,C,2.544117647,0.679285714,0.101265823,68,2.02E-02,1.36E-01,1.90E-01,7.917808219
17-04-29.5CBD,C,4.661538462,0.282736111,0.258064516,65,3.33E-01,2.36E-01,3.62E-01,7.994520548
17-04-30.2CBDHC,C,1.607142857,0.951661972,0.011363636,84,2.43E-01,8.07E-02,1.91E-01,11.74520548
17-04-30.3CBDHC,C,4.1,0.421352601,0.382716049,50,9.13E-02,2.56E-02,1.20E-02,7.673972603
17-04-30.4CBDHC,C,1.956521739,0.390364807,0.033613445,115,1.04E-01,2.48E-01,2.99E-01,7.306849315
17-05-07.1CBDHC,C,1.438016529,0.547816667,0.024193548,121,1.68E-01,7.30E-02,1.61E-01,6.863013699
17-05-11.1CBDHC,C,4.931034483,0.310913924,0.333333333,58,2.68E-01,3.19E-01,4.37E-01,9.364383562
17-05-20.1CBD,C,4.26984127,0.33914876,0.272727273,63,1.23E-01,-2.12E-02,-8.91E-02,8.15890411
17-05-21.1CBD,C,4.280701754,0.24204918,0.376237624,57,1.80E-01,8.19E-02,2.17E-01,6.41369863
17-05-28.1CBD,C,4.431034483,0.362440828,0.219512195,58,1.61E-01,1.50E-01,3.78E-01,9.156164384
17-05-28.2CBD,C,2.975308642,0.505194553,0.078651685,81,1.42E-01,2.97E-01,3.46E-01,7.164383562
17-06-03.3CBD,C,2.590909091,0.2691,0.098360656,110,2.27E-01,-3.38E-02,1.84E-02,6.210958904
17-06-17.1CBD,C,1.939759036,0.590451087,0.076923077,83,2.09E-01,1.66E-01,2.29E-01,7.287671233
17-06-17.3CBD,C,3.901960784,0.609166023,0.208955224,51,3.47E-01,2.33E-01,1.81E-01,6.509589041
17-06-24.2CBD,C,4.735849057,0.440708934,0.320512821,53,1.74E-01,9.17E-02,1.28E-01,10.62465753
17-05-20.3CBDHA,A,4.21875,0.10740395,0.309352518,96,,,,19.69315068
17-05-20.4CBDHA,A,5.854166667,0.207800399,0.52,48,,,,20.15890411
17-05-21.1CBDHA,A,5.902777778,0.082980769,0.466666667,72,,,,22.03013699
17-05-21.2CBDHA,A,4.168316832,0.15758642,0.185483871,101,,,,23.4739726
17-05-21.3CBDHA,A,4.15,0.289953659,0.215686275,80,,,,23.14794521
17-05-28.2CBDHA,A,5.685714286,0.102733232,0.465648855,70,,,,22.47123288
17-05-28.4CBDHA,A,3.946902655,0.114033457,0.204225352,113,,,,24.23287671
17-05-29.2CBDHA,A,4.102803738,0.110627273,0.235714286,107,,,,24.33424658
17-05-29.3CBDHA,A,5.212765957,0.450545714,0.347222222,47,,,,23.55616438
17-06-03.1CBDHA,A,4.62745098,0.120616725,0.233082707,102,,,,23.99726027
17-06-03.3CBDHA,A,5.105263158,0.1035536,0.296296296,95,,,,24.05205479
17-06-03.4CBDHA,A,3.915384615,0.080582609,0.150326797,130,,,,22.79178082
17-06-04.1CBDHA,A,4.4,0.141620493,0.318181818,90,,,,20.95616438
17-06-04.2CBDHA,A,4.833333333,0.322834928,0.274725275,66,,,,24.43287671
17-06-04.3CBDHA,A,4.825581395,0.132032534,0.333333333,86,,,,26.35068493
17-06-10.1CBDHA,A,5.060606061,0.0816823,0.287769784,99,,,,23.62739726
17-06-10.2CBDHA,A,3.963414634,0.297971429,0.203883495,82,,,,25.89863014
